"DateAndTime","OS_Hall121 (Bloomberg-1 West-Hall 121) Occupancy","",
"2016-08-31 02:03:00","0","",
"2016-08-31 02:13:30","0","",
"2016-08-31 02:24:00","0","",
"2016-08-31 02:34:31","0","",
"2016-08-31 02:45:01","0","",
"2016-08-31 02:55:31","0","",
"2016-08-31 03:06:02","0","",
"2016-08-31 03:16:32","0","",
"2016-08-31 03:27:03","0","",
"2016-08-31 03:37:33","0","",
"2016-08-31 03:48:02","0","",
"2016-08-31 03:58:32","0","",
"2016-08-31 04:09:02","0","",
"2016-08-31 04:19:32","0","",
"2016-08-31 04:30:02","0","",
"2016-08-31 04:40:33","0","",
"2016-08-31 04:51:03","0","",
"2016-08-31 05:01:33","0","",
"2016-08-31 05:12:04","0","",
"2016-08-31 05:22:34","0","",
"2016-08-31 05:33:04","0","",
